Municipio;Initial;Final;PS;PVI;LS;LVI;AL;Lechoso;Consistente;Maduro
San Pedro Pochutla;15/06/2015;21/06/2015;2.4;2;1.3;1.7;NA;NA;NA;NA
Pluma Hidalgo;15/06/2015;21/06/2015;3.1;1.8;0.5;0.2;NA;NA;NA;NA
San Mateo Piñas;22/06/2015;28/06/2015;3.3;2.5;3.1;3.8;1.5;23.3;363.3;0
San Pedro Pochutla;22/06/2015;28/06/2015;7.2;12.1;1.6;1.3;4.9;285;231.5;0
Candelaria Loxicha;22/06/2015;28/06/2015;6.3;4.1;1.4;1.6;3.3;342.5;146;0
Pluma Hidalgo;22/06/2015;28/06/2015;3.7;1.8;1.3;1.4;3.3;68.7;149.3;0
San Mateo Piñas;06/07/2015;12/07/2015;2.1;2.8;2.7;4.8;NA;NA;NA;NA
San Pedro Pochutla;06/07/2015;12/07/2015;2.5;1.6;1.6;2.7;NA;NA;NA;NA
Candelaria Loxicha;06/07/2015;12/07/2015;5.6;1.9;0.8;0.3;NA;NA;NA;NA
Pluma Hidalgo;06/07/2015;12/07/2015;3.4;1.6;0.7;0.5;NA;NA;NA;NA
San Mateo Piñas;27/07/2015;02/08/2015;7;10.9;4.8;7.4;2.4;3;529;6
San Pedro Pochutla;27/07/2015;02/08/2015;3.3;1.5;2.7;3.2;4.7;335;280.5;0
Pluma Hidalgo;27/07/2015;02/08/2015;4.3;1.5;1.9;2.4;2.5;26.7;145;1.3
Candelaria Loxicha;27/07/2015;02/08/2015;5.3;1.4;1.1;0.7;3.8;333;141;0
San Pedro Pochutla;24/08/2015;30/08/2015;5.6;6.3;5.4;5.1;4.6;18.5;294;3.5
San Mateo Piñas;24/08/2015;30/08/2015;6.1;5.5;2.5;2.3;2.6;0;523;0
Pluma Hidalgo;24/08/2015;30/08/2015;3.9;1.2;1.6;0.9;2.4;8;155.7;3.3
Candelaria Loxicha;24/08/2015;30/08/2015;6.2;1.6;1.2;0.7;3.8;0.5;458;0
Pluma Hidalgo;31/08/2015;06/09/2015;6.1;2.2;5.1;3.3;NA;NA;NA;NA
San Mateo Piñas;31/08/2015;06/09/2015;3.8;3.6;2.2;2.6;NA;NA;NA;NA
San Pedro Pochutla;31/08/2015;06/09/2015;3.2;3.1;2;2.2;NA;NA;NA;NA
Candelaria Loxicha;31/08/2015;06/09/2015;5.8;3.3;1.3;1;NA;NA;NA;NA
San Mateo Piñas;07/09/2015;13/09/2015;4.2;4;3.2;2.2;2.7;0;519.5;1.5
San Pedro Pochutla;07/09/2015;13/09/2015;2.9;2.3;2.2;2.5;4.7;12.5;298.5;8
Candelaria Loxicha;07/09/2015;13/09/2015;5.1;3.8;1.4;1.1;3.1;4.3;385.7;11
Pluma Hidalgo;07/09/2015;13/09/2015;3.6;1.2;1.3;0.9;2.7;5;100.5;0
Pluma Hidalgo;14/09/2015;20/09/2015;5.5;2;4.7;4.2;NA;NA;NA;NA
San Mateo Piñas;14/09/2015;20/09/2015;7.1;3;3.9;1.9;NA;NA;NA;NA
San Pedro Pochutla;14/09/2015;20/09/2015;4;2.8;2.9;2.6;NA;NA;NA;NA
Candelaria Loxicha;14/09/2015;20/09/2015;5.5;3.5;1.9;1.2;NA;NA;NA;NA
Candelaria Loxicha;28/09/2015;04/10/2015;19;13.2;9.4;11.3;NA;NA;NA;NA
San Mateo Piñas;28/09/2015;04/10/2015;6.4;3.9;5;4;NA;NA;NA;NA
Pluma Hidalgo;28/09/2015;04/10/2015;6.6;3.5;3.7;3.3;NA;NA;NA;NA
San Pedro Pochutla;28/09/2015;04/10/2015;4.5;3;3.7;3.1;NA;NA;NA;NA
San Mateo Piñas;26/10/2015;01/11/2015;17.5;11.5;12.1;13.3;NA;NA;NA;NA
Pluma Hidalgo;26/10/2015;01/11/2015;11.6;7.1;10.5;7.7;NA;NA;NA;NA
Candelaria Loxicha;26/10/2015;01/11/2015;19.1;8.2;9.2;6;NA;NA;NA;NA
San Pedro Pochutla;26/10/2015;01/11/2015;5.9;2;5.5;4.6;NA;NA;NA;NA
San Mateo Piñas;02/11/2015;08/11/2015;10;12.3;8.2;13.5;2.8;0;313.5;112
Pluma Hidalgo;02/11/2015;08/11/2015;9.6;6.3;7;4;3.1;0;41.7;68.3
San Pedro Pochutla;02/11/2015;08/11/2015;6;5.2;6.9;7.8;5.6;0;112;170.5
Candelaria Loxicha;02/11/2015;08/11/2015;18.4;4.5;6.4;1.1;3.9;0;140;194
San Mateo Piñas;16/11/2015;22/11/2015;20.3;15.7;14.6;14.6;2.9;0;189;195.5
Pluma Hidalgo;16/11/2015;22/11/2015;11.4;9.4;9.7;8.4;2.8;0;10.3;41
San Pedro Pochutla;16/11/2015;22/11/2015;7.5;3.3;6.1;6.4;5.7;0;29.5;57.5
Candelaria Loxicha;16/11/2015;22/11/2015;18.8;7.9;6.1;1.6;3.7;0;20.5;13.5
Pluma Hidalgo;23/11/2015;29/11/2015;15.5;10.7;10.2;9;NA;NA;NA;NA
San Mateo Piñas;23/11/2015;29/11/2015;13.4;8.5;9.7;8.4;NA;NA;NA;NA
San Pedro Pochutla;23/11/2015;29/11/2015;10.4;7.3;9.4;7.7;NA;NA;NA;NA
Candelaria Loxicha;23/11/2015;29/11/2015;19.5;6.9;6.6;2.3;NA;NA;NA;NA
San Mateo Piñas;21/12/2015;27/12/2015;15.3;7.5;15.2;11;NA;NA;NA;NA
San Pedro Pochutla;21/12/2015;27/12/2015;10.1;7.6;10.4;9.4;NA;NA;NA;NA
Pluma Hidalgo;21/12/2015;27/12/2015;12.2;8.2;9.7;8.6;NA;NA;NA;NA
