Municipality,Initial,Final,PS,PVI,LS,LVI,AL,Lechoso,Consistente,Maduro
Bella Vista,15/12/2014,21/12/2014,29.8,7.9,37.0,9.8,3.4,0.0,35.0,47.0
Tapachula,15/12/2014,21/12/2014,32.7,14.3,28.4,16.1,5.7,0.8,0.6,1.8
Huixtla,15/12/2014,21/12/2014,36.7,10.3,26.3,6.0,1.5,0.0,0.0,0.0
San Juan Cancuc,15/12/2014,21/12/2014,19.8,8.1,20.9,6.0,2.7,1.0,7.0,0.0
Tila,15/12/2014,21/12/2014,22.0,4.4,19.0,3.2,2.8,0.0,0.5,4.0
Tuzantan,15/12/2014,21/12/2014,16.4,6.5,18.2,22.5,4.3,0.0,0.0,0.0
Yajalon,15/12/2014,21/12/2014,28.8,13.9,17.4,5.7,2.3,0.0,0.0,0.0
Villa Comaltitlan,15/12/2014,21/12/2014,20.9,8.2,17.0,9.2,2.8,0.0,0.0,0.0
Cacahoatan,15/12/2014,21/12/2014,21.0,17.4,16.7,24.3,3.1,0.0,3.5,0.5
Union Juarez,15/12/2014,21/12/2014,19.9,10.9,16.4,9.4,4.3,0.0,26.0,57.5
Chilon,15/12/2014,21/12/2014,27.4,2.9,15.9,3.8,2.6,0.0,26.0,14.0
Chenalhe,15/12/2014,21/12/2014,18.8,11.0,14.6,2.8,1.1,0.0,10.0,5.0
Tumbala,15/12/2014,21/12/2014,22.3,5.3,13.8,1.9,2.4,0.0,1.0,21.0
El Bosque,15/12/2014,21/12/2014,20.3,12.4,10.5,7.6,1.4,0.0,0.0,1.0
Tapilula,15/12/2014,21/12/2014,22.6,21.0,9.6,11.8,7.7,0.0,0.0,0.0
Amatan,15/12/2014,21/12/2014,20.6,3.8,8.9,1.1,3.6,0.0,0.0,0.0
Escuintla,15/12/2014,21/12/2014,21.2,13.2,6.8,5.4,2.6,0.0,0.0,14.3
Ocotepec,15/12/2014,21/12/2014,19.5,3.9,5.6,1.3,1.3,0.0,8.0,0.0
Huitiupan,15/12/2014,21/12/2014,15.9,6.4,4.6,0.3,1.3,0.0,0.0,0.0
Ixhuatan,15/12/2014,21/12/2014,13.8,3.3,4.1,1.4,5.3,0.0,61.5,6.5
Simojovel de Allende,15/12/2014,21/12/2014,17.3,5.8,3.6,1.8,0.8,0.0,29.0,90.0
Tuxtla Chico,15/12/2014,21/12/2014,3.9,5.9,0.6,1.2,0.1,0.0,155.0,331.0
Tecpatan,15/12/2014,21/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
Villa Corzo,22/12/2014,28/12/2014,60.0,0.0,58.3,1.7,-,-,-,-
Angel Albino Corzo,22/12/2014,28/12/2014,58.9,3.2,57.4,4.1,-,-,-,-
Bella Vista,22/12/2014,28/12/2014,42.7,2.6,47.6,5.7,-,-,-,-
Chicomuselo,22/12/2014,28/12/2014,30.6,4.2,45.8,9.9,-,-,-,-
Siltepec,22/12/2014,28/12/2014,44.1,11.5,45.5,11.9,-,-,-,-
Amatenango de la Frontera,22/12/2014,28/12/2014,31.7,1.9,42.2,7.9,-,-,-,-
Motozintla,22/12/2014,28/12/2014,51.3,9.1,36.1,25.0,-,-,-,-
Huixtla,22/12/2014,28/12/2014,45.2,4.4,33.3,8.4,-,-,-,-
Tapachula,22/12/2014,28/12/2014,35.3,11.0,30.0,10.5,-,-,-,-
Yajalon,22/12/2014,28/12/2014,29.3,11.4,19.3,7.3,-,-,-,-
Villa Comaltitlan,22/12/2014,28/12/2014,20.1,11.3,17.6,12.8,-,-,-,-
Tila,22/12/2014,28/12/2014,24.4,7.2,17.4,0.5,-,-,-,-
Union Juarez,22/12/2014,28/12/2014,16.2,10.0,16.4,10.1,-,-,-,-
Cacahoatan,22/12/2014,28/12/2014,18.6,16.8,15.8,23.6,-,-,-,-
Chilon,22/12/2014,28/12/2014,27.9,7.2,15.8,5.9,-,-,-,-
Tumbala,22/12/2014,28/12/2014,21.4,8.8,15.7,3.5,-,-,-,-
Chenalhe,22/12/2014,28/12/2014,14.5,9.1,15.1,4.5,-,-,-,-
Tuzantan,22/12/2014,28/12/2014,15.8,6.7,14.9,19.7,-,-,-,-
Escuintla,22/12/2014,28/12/2014,28.0,5.6,9.3,3.1,-,-,-,-
Ixhuatan,22/12/2014,28/12/2014,14.0,7.8,2.8,1.6,-,-,-,-
Simojovel de Allende,22/12/2014,28/12/2014,9.3,2.6,2.7,2.0,-,-,-,-
Tuxtla Chico,22/12/2014,28/12/2014,1.0,1.7,0.0,0.0,-,-,-,-
Siltepec,21/12/2015,27/12/2015,58.1,-,64.7,,-,-,-,-
Villa Corzo,21/12/2015,27/12/2015,53.2,-,51.6,,-,-,-,-
Tuzantan,21/12/2015,27/12/2015,35.0,4.0,50.5,17.8,-,-,-,-
Bella Vista,21/12/2015,27/12/2015,44.7,-,42.1,,-,-,-,-
Chicomuselo,21/12/2015,27/12/2015,21.9,-,40.9,,-,-,-,-
Amatenango de la Frontera,21/12/2015,27/12/2015,16.3,-,39.6,,-,-,-,-
Motozintla,21/12/2015,27/12/2015,36.6,0.5,34.5,2.7,-,-,-,-
Villa Comaltitlan,21/12/2015,27/12/2015,14.7,9.5,28.7,34.5,-,-,-,-
Angel Albino Corzo,21/12/2015,27/12/2015,33.8,17.1,22.6,17.0,-,-,-,-
San Juan Cancuc,21/12/2015,27/12/2015,27.5,-,13.3,,-,-,-,-
Huixtla,21/12/2015,27/12/2015,28.8,7.0,12.4,7.5,-,-,-,-
Chilon,21/12/2015,27/12/2015,24.6,30.5,11.2,15.1,-,-,-,-
Tila,21/12/2015,27/12/2015,20.8,12.2,11.1,8.4,-,-,-,-
Chenalhe,21/12/2015,27/12/2015,11.6,-,10.0,,-,-,-,-
Amatan,21/12/2015,27/12/2015,17.0,-,9.8,,-,-,-,-
Tapachula,21/12/2015,27/12/2015,9.1,7.1,8.3,7.3,-,-,-,-
Ocotepec,21/12/2015,27/12/2015,11.7,-,7.4,,-,-,-,-
Tumbala,21/12/2015,27/12/2015,11.5,-,7.2,,-,-,-,-
Cacahoatan,21/12/2015,27/12/2015,8.2,9.1,7.2,14.2,-,-,-,-
Huitiupan,21/12/2015,27/12/2015,5.9,-,4.8,,-,-,-,-
Simojovel de Allende,21/12/2015,27/12/2015,5.8,-,3.8,,-,-,-,-
Tapilula,21/12/2015,27/12/2015,10.9,-,2.7,,-,-,-,-
Union Juarez,21/12/2015,27/12/2015,9.2,2.6,2.6,3.2,-,-,-,-
Ixhuatan,21/12/2015,27/12/2015,9.5,2.1,2.1,0.7,-,-,-,-
Escuintla,21/12/2015,27/12/2015,3.5,2.6,1.1,0.9,-,-,-,-
Yajalon,21/12/2015,27/12/2015,4.6,-,0.9,,-,-,-,-
Tuxtla Chico,21/12/2015,27/12/2015,0.0,0.1,0.0,0.0,-,-,-,-
El Bosque,21/12/2015,27/12/2015,0.0,-,0.0,,-,-,-,-
Tecpatan,21/12/2015,27/12/2015,0.0,-,0.0,,-,-,-,-
